trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,0,-36.95207119423072,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,0,-102.33575349478802,"{0: 14, 1: 14, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,0,-72.15428737376024,"{0: 10, 1: 9, 2: 0, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,0,-65.02697360860141,"{0: 12, 1: 12, 2: 0, 3: 1, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",25,0,-76.33603486184457,"{0: 13, 1: 10, 2: 1, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,0,-67.68478245576016,"{0: 16, 1: 13, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,0,-51.4015645340049,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,0,-62.047700210163065,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,0,-55.20969147930257,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,0,-36.91980429537269,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",30,0,-54.04574449483408,"{0: 17, 1: 12, 2: 0, 3: 1, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,0,-91.69527926804057,"{0: 12, 1: 11, 2: 0, 3: 1, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,0,-85.80951020756808,"{0: 13, 1: 9, 2: 2, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,0,-40.47790033346677,"{0: 14, 1: 10, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,0,-61.07072253390101,"{0: 8, 1: 11, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",30,0,-74.54578261588445,"{0: 12, 1: 16, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,0,-130.5417894679757,"{0: 7, 1: 10, 2: 1, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,0,-38.43417109941326,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,0,-83.7059619066606,"{0: 8, 1: 11, 2: 0, 3: 0, 4: 1}",0
